Code,GW1,GW2,GW3,GW4,LIFE1,LIFE2,LIFE3,LIFE4,LIFE 5,LIFE 6,LIFE7,LIFE8,LIFE 9,Life Avg,Knowledge Rating,Written Response Score,time,exp_cont
17A,7,9,9,8,7,7,8,4,7,9,6,8,5,6.777777778,7,0,pre,exp
21A,1,9,9,9,4,7,9,6,3,7,1,7,9,5.888888889,8,1,pre,exp
22A,1,9,9,8,8,8,8,7,8,7,8,9,6,7.666666667,6,0,pre,exp
23A,1,9,7,9,6,5,7,1,2,7,3,7,7,5,3,0,pre,exp
24A,1,9,9,7,7,5,6,5,5,6,1,8,3,5.111111111,5,0,pre,exp
25A,1,9,9,8,3,7,6,3,5,5,2,9,7,5.222222222,8,0,pre,exp
26A,1,9,9,5,9,5,7,7,9,7,5,9,7,7.222222222,5,0,pre,exp
27A,1,9,9,9,4,8,7,5,4,6,6,4,5,5.444444444,5,0,pre,exp
28A,1,9,9,9,9,9,9,7,7,9,3,7,5,7.222222222,7,0,pre,exp
29A,3,9,8,6,7,4,5,2,3,6,2,7,6,4.666666667,4,0,pre,exp
31A,2,6,8,8,9,6,7,1,8,7,2,5,3,5.333333333,6,0.5,pre,exp
1A,2,9,8,8,7,9,6,1,5,5,5,7,4,5.444444444,5,0,pre,exp
3A,2,9,9,7,6,3,5,9,5,9,4,8,2,5.666666667,5,0,pre,exp
4A,1,9,9,9,6,5,7,3,3,9,9,9,7,6.444444444,7,0,pre,exp
5A,3,8,9,7,5,5,5,6,5,9,6,7,6,6,3,0,pre,exp
6A,7,4,4,6,6,5,5,5,7,7,4,7,4,5.555555556,4,0,pre,exp
7A,3,9,8,9,5,7,6,3,7,7,5,9,6,6.111111111,5,0,pre,exp
8A,3,7,6,8,5,2,4,1,7,8,3,6,2,4.222222222,5,0.5,pre,exp
9A,2,9,9,8,6,7,7,8,7,6,4,8,3,6.222222222,5,0,pre,exp
10A,7,9,8,3,8,5,7,2,6,8,7,7,5,6.111111111,6,0,pre,exp
13A,5,9,8,8,9,3,8,9,9,9,1,9,9,7.333333333,6,0,pre,exp
15A,2,8,9,9,9,7,7,1,5,9,3,9,5,6.111111111,5,0,pre,exp
33A,5,4,8,6,3,2,5,5,5,9,5,9,6,5.444444444,5,0,pre,exp
34A,2,9,9,7,7,5,5,4,5,7,4,3,4,4.888888889,4,0,pre,exp
35A,3,7,8,8,5,6,7,6,6,8,3,4,3,5.333333333,2,0,pre,exp
36A,4,8,8,9,8,8,7,9,9,9,7,9,8,8.222222222,8,0,pre,exp
38A,5,7,9,7,5,5,7,5,2,7,3,9,6,5.444444444,7,0,pre,exp
40A,1,9,9,9,3,5,6,5,7,7,5,7,3,5.333333333,7,0,pre,exp
46A,4,9,9,8,4,5,4,1,3,7,3,5,2,3.777777778,3,0,pre,exp
18B,4,9,8,8,7,7,6,7,5,8,6,8,7,6.777777778,8,1,pre,cont
19B,1,8,9,9,6,6,5,3,9,7,7,7,3,5.888888889,4,0,pre,cont
20B,4,7,7,3,3,7,5,1,2,6,1,4,2,3.444444444,3,0,pre,cont
21B,5,7,6,7,7,7,7,9,5,9,4,9,4,6.777777778,4,0,pre,cont
22B,3,9,7,7,4,5,3,1,4,9,7,9,2,4.888888889,2,0,pre,cont
