,StartDate.study,EndDate.study,k1time_pre_1,k1time_pre_2,k1time_pre_3,k1time_pre_4,k2time_pre_1,k2time_pre_2,k2time_pre_3,k2time_pre_4,k3time_pre_1,k3time_pre_2,k3time_pre_3,k3time_pre_4,knwgbl_pre,desc_time_1,desc_time_2,desc_time_3,desc_time_4,desc,surprise,surprise.1,new_forg,lt_in_pst,lt_out_pst,k1time_pst_1,k1time_pst_2,k1time_pst_3,k1time_pst_4,k2time_pst_1,k2time_pst_2,k2time_pst_3,k2time_pst_4,k3time_pst_1,k3time_pst_2,k3time_pst_3,k3time_pst_4,knwgbl_pst,evo1_1_pst,gw1_2_pst,nat1_3_pst,dty1_4_pst,aft1_5_pst,cre1_6_pst,gw2_1_pst,gw2_2_pst,gw2_3_pst,gw2_4_pst,evo2_5_pst,evo2_6_pst,engage_pst,aft2_pst,aft3_pst,dty2_pst,dty3_pst,cre2_pst,cre3_pst,nat2_pst,lifsty_pst,natmil_pst_1,gender,citizen,us_born,english,party,conservati,faith,us_years,born,eng_years,first_lang,StartDate.test,EndDate.test,lt_in_fol,lt_out_fol,k1time_fol_1,k1time_fol_2,k1time_fol_3,k1time_fol_4,k2time_fol_1,k2time_fol_2,k2time_fol_3,k2time_fol_4,k3time_fol_1,k3time_fol_2,k3time_fol_3,k3time_fol_4,knwgbl_fol,evo1_1_fol,gw1_2_fol,nat1_3_fol,dty1_4_fol,aft1_5_fol,cre1_6_fol,gw2_1_fol,gw2_2_fol,gw2_3_fol,gw2_4_fol,evo2_5_fol,evo2_6_fol,engage_fol,aft2_fol,aft3_fol,dty2_fol,dty3_fol,cre2_fol,cre3_fol,nat2_fol,lifsty_fol,natmil_fol_1,Q102,did.pre,study.test.delay,codes.1_pre,coder.1_pre,codes.2_pre,coder.2_pre,codes.1_pst,coder.1_pst,codes.2_pst,coder.2_pst,codes.1_fol,coder.1_fol,codes.2_fol,coder.2_fol
1,6/2/12 16:04,6/2/12 16:19,4.419,59.898,92.524,3,36.213,36.213,76.269,1,13.446,13.446,44.151,1,2,0,0,189.782,0,1,1,1,3,visible,infrared,5.698,30.898,84.988,3,6.206,6.206,10.568,1,3.808,3.808,29.834,1,3,9,5,7,7,7,1,4,6,4,6,9,9,3,7,6,4,1,7,1,6,6,3,male,y,y,y,democrat,3,spiritual but not religious,NA,,NA,,6/3/12 19:25,6/3/12 19:32,visible,infrared,4.94,127.915,142.725,5,8.245,8.245,13.14,1,2.715,2.715,29.14,1,2,9,5,7,7,7,1,4,6,5,6,9,9,3,7,6,6,1,7,1,6,3,3,2,TRUE,1.139583333,"MCCS3, MCCS4, DGHG3, MCCR",Coder1,"MCCS3, MCCS4, DGHG3, MCCR",Coder2,"DD1, DGHG2, MCCE1, DNK1, DGHG3",Coder1,"DGHG3, DGHG2, DNK1, DD1, MCCE1",Coder3,"DD1, MCCE1, DGHG3, DGHG2, DNK1",Coder1,"DD1, MCCE1, DGHG3, DGHG2, DNK1",Coder2
2,6/2/12 16:49,6/2/12 17:11,30.485,115.877,162.107,3,38.126,38.126,91.729,1,8.285,66.899,114.233,3,6,0,0,83.862,0,1,1,3,4,UV,infrared,17.654,17.654,64.636,1,9.565,9.565,58.22,1,26.247,26.247,43.979,1,7,7,8,6,7,8,7,4,7,7,8,7,8,7,8,9,9,5,9,7,2,6,25,female,y,y,n,decline to state,8,protestant / other christian,NA,,14,Vietnamese,6/3/12 19:22,6/3/12 20:53,uv,infrared,3.831,3.831,45.997,1,5.574,5.574,52.37,1,2.02,2.02,26.683,1,7,3,7,6,7,8,7,5,7,7,7,7,8,7,8,9,9,5,8,5,4,6,25,1,TRUE,1.10625,"MCCQ2, DD3, DGHG2",Coder1,"DGHG2, DD3, MCCQ2",Coder3,"MCCQ2, DD3, DGHG3, DGHG4",Coder1,"DGHG3, MCCQ2, DD3, SGHG2",Coder3,"MCCQ2, DGHG3, DGHG4",Coder1,"MCCQ2, DD3, DGHG3",Coder2
3,6/2/12 18:05,6/2/12 18:27,1.387,72.469,83.526,3,32.106,32.106,139.913,1,6.462,6.462,62.824,1,5,0,0,178.158,0,1,1,1,9,infrared,visible,1.54,1.54,50.586,1,0.962,0.962,39.598,1,1.166,1.166,38.185,1,5,9,3,7,5,7,1,3,3,3,3,9,9,7,7,7,6,1,5,1,3,3,6,male,y,y,y,democrat,4,decline to state,NA,,NA,,6/3/12 19:09,6/3/12 19:16,infrared,visible,83.218,128.25,157.288,6,1.123,1.123,63.868,1,0.713,0.713,47.893,1,5,9,2,7,5,7,2,2,2,3,3,9,9,7,7,7,7,1,2,1,3,3,6,2,TRUE,1.044444444,"DGHG3, MCCE2, DGHG2, DD2, MCCS1",Coder3,"MCCS1, DD2, DGHG3, DGHG2, MCCE2",Coder1,"DGHG3, DGHG2, DD2, MCCE2, SGHG1",Coder3,"MCCE2, DD2, DGHG2, DGHG3",Coder5,"DGHG3, DGHG2, DD2, MCCE2",Coder3,"MCCE2, DGHG2, DD2, DGHG3",Coder1
4,6/2/12 19:11,6/2/12 23:04,1.699,75.919,79.741,2,14.264,89.221,91.536,3,40.739,126.294,128.658,2,1,19.124,36.75,38.87,3,1,4,8,2,visible,infrared,1.395,30.026,72.924,5,4.751,4.751,49.144,1,51.255,164.498,166.287,4,7,8,5,8,7,3,1,3,3,1,6,9,9,6,4,5,3,9,6,2,6,4,2,female,y,y,y,democrat,2,jewish,NA,,NA,,6/3/12 17:56,6/3/12 18:04,visible,infrared,3.705,61.96,104.408,4,5.64,5.64,97.675,1,2.499,85.101,86.39,4,3,9,3,9,6,3,1,4,3,2,3,8,9,5,5,5,3,8,6,2,7,2,2,2,TRUE,0.947916667,"MCCS4, DD3, DGHG3",Coder2,"DGHG3, DGHG2, DD3, MCCS3, MCCS4",Coder3,"MCCS1, MCCE1, DD1, DGHG1",Coder2,"DGHG3, DGHG1, DD1, MCCS1, MCCE3",Coder3,"MCCS1, SGHG1, DD1, MCCE2, DGHG1",Coder2,,Coder4
5,6/2/12 23:56,6/3/12 0:33,9.038,9.038,103.977,1,20.281,20.281,111.716,1,33.138,33.138,105.508,1,5,12.912,12.912,176.046,1,1,3,4,7,UV and visible,infrared,2.891,6.92,86.812,4,11.724,11.724,40.148,1,3.211,3.211,63.169,1,7,2,5,5,9,9,9,2,5,3,7,1,9,6,9,9,9,7,9,9,3,2,6,male,y,n,n,republican,7,protestant / other christian,6,Romania,10,Romanian,6/3/12 23:37,6/3/12 23:44,UV and visible,infrared,7.034,7.034,79.483,1,3.977,3.977,36.932,1,1.477,1.477,43.553,1,6,2,3,7,9,9,9,3,4,4,7,2,9,7,9,9,9,8,9,9,3,4,6,2,TRUE,0.986805556,"SGHG3, MCCS4, DGHG4",Coder5,"SGHG2, MCCS4, DGHG4",Coder2,"DD1, DGHG1, DGHG3, MCCE4",Coder4,"DD1, DGHG1, DGHG3",Coder1,"DD1, DGHG1, DGHG3, MCCE1",Coder4,"DD1, DGHG1, DGHG3, MCCE3",Coder1
6,6/3/12 9:42,6/3/12 21:16,1.834,103.153,260.872,2,6.595,128.193,130.698,2,0.901,0.901,117.044,1,5,0,0,31.074,0,1,1,2,8,visible,infrared,5.117,62.548,62.758,2,0.684,63.571,66.556,2,0.882,2.938,25.49,2,8,5,7,5,9,9,7,5,7,3,4,7,7,5,9,9,9,9,9,5,4,4,3,female,y,n,n,none,5,protestant / other christian,9,Korea,11,Korean,6/4/12 18:49,6/4/12 19:02,visible,infrared,1.513,72.332,107.717,2,8.229,8.229,324.537,1,1.325,1.325,32.858,1,7,7,6,5,9,9,7,5,5,5,4,7,7,5,9,9,9,9,9,5,3,5,3,1,FALSE,1.379861111,"MCCS1, SGHG1, DGHG1, DD2, DGHG3",Coder1,"DGHG3, DGHG1, MCCS1, SGHG1, DD2",Coder3,"MCCS1, DGHG1, DD3",Coder1,"MCCS1, DGHG1, DD3",Coder2,"DGHG1, DD1",Coder1,"DD1, DGHG1",Coder2
7,6/3/12 21:16,6/3/12 21:47,2.995,2.995,91.53,1,14.004,96.844,97.285,2,5.94,89.749,133.078,2,7,0,0,99.889,0,1,3,2,7,visible,infrared,6.441,113.425,143.211,6,4.097,130.313,134.338,8,2.164,2.164,42.27,1,7,8,6,7,2,2,1,4,7,3,6,9,9,6,3,2,1,2,2,1,3,1,0,male,y,y,y,libertarian,7,atheist,NA,,NA,,6/4/12 16:27,6/4/12 16:44,visible,infrared,16.864,77.361,87.794,4,36.68,36.68,120.985,1,56.353,145.346,151.571,2,7,9,6,7,2,2,1,4,7,3,6,8,9,5,3,2,1,3,2,1,3,1,0,2,TRUE,0.799305556,"DGHG2, DD1, DGHG3, MCCE2",Coder1,"DGHG3, DGHG2, DD1, MCCE2",Coder3,"DD1, MCCE2, DGHG3, DGHG2",Coder1,"DGHG3, DD1, MCCE2, DGHG2",Coder3,"DGHG2, DD1, DGHG3",Coder1,"DGHG3, DGHG2, DD1",Coder3
8,6/4/12 10:49,6/4/12 11:31,3.336,152.719,154.452,2,51.354,83.269,110.272,5,7.024,7.024,35.496,1,2,0,0,373.474,0,1,2,3,5,uv,infrared,1.617,1.617,73.8,1,6.25,6.25,49.002,1,1.517,1.517,13.2,1,3,5,5,5,9,9,9,3,5,4,5,5,5,5,9,9,9,3,9,7,5,2,20,female,y,y,y,republican,7,other,NA,,NA,,6/5/12 11:41,6/5/12 11:48,visible,infrared,1.625,1.625,43.306,1,1.72,1.72,55.742,1,2.109,2.109,11.539,1,3,3,5,5,9,9,9,4,5,5,5,3,5,5,9,9,5,5,9,7,5,5,24,2,TRUE,1.036111111,"MCCQ2, DNK1, DGHG4",Coder2,"DGHG2, DNK1, MCCQ2",Coder3,"DD1, DGHG1",Coder2,,Coder4,"DD1, DGHG1",Coder2,,Coder4
9,6/4/12 12:31,6/4/12 13:08,2.281,345.529,454.029,4,29.282,96.544,279.806,3,13.733,13.733,59.71,1,3,0,0,156.284,0,1,2,5,8,visible,infrared,13.468,197.047,244.591,3,3.466,3.466,60.659,1,13.079,22.674,57.005,2,4,7,5,2,2,1,2,5,7,2,5,5,9,2,2,2,3,2,8,1,1,1,2,male,y,y,n,none,5,catholic,NA,,11,spanish,6/5/12 16:23,6/5/12 16:36,visible,infrared,2.095,76.957,191.46,3,2.805,2.805,57.61,1,2.472,55.226,71.953,4,3,6,5,2,5,2,1,5,5,3,5,7,8,2,3,1,3,2,7,1,1,1,2,2,TRUE,1.161111111,"MCCS2, MCCE3, DD3, DGHG3, DGHG1",Coder1,"MCCS2, MCCE2, DD1, DGHG1",Coder2,"DD1, DGHG1, DGHG3, MCCE3",Coder1,"DGHG3, DGHG1, DD1",Coder3,"DD1, DGHG1, DGHG3",Coder1,"DD1, DGHG1",Coder2
10,6/5/12 9:11,6/6/12 14:52,5.181,220.322,230.574,12,3.752,3.752,21.433,1,13.507,13.507,24.975,1,3,0,0,126.985,0,1,3,3,7,ultraviolet,infrared,8.867,115.674,116.399,4,6.728,6.728,51.286,1,3.083,3.083,9.574,1,5,1,5,5,9,9,9,3,7,5,7,1,5,5,9,9,9,9,9,9,5,5,30,male,y,y,y,republican,5,spiritual but not religious,NA,,NA,,6/7/12 21:15,6/7/12 21:24,ulraviolet,infrared,3.504,224.037,228.831,12,12.072,12.072,88.917,1,2.171,2.171,10.077,1,3,1,5,5,9,9,9,3,7,5,7,1,5,5,9,9,9,9,9,9,5,5,30,2,FALSE,2.502777778,"MCCS1, MCCS2, DNK2, DNK1",Coder5,"MCCS1, MCCS2, DNK2, DNK1",Coder2,"SGHG1, MCCE3, DD2, DNK1",Coder5,"SGHG1, MCCE3, DD2, DNK1",Coder2,"DD2, MCCE2, DNK1, SGHG1",Coder5,"DD2, MCCE2, DNK1, SGHG1",Coder2
