,StartDate.rtmd,EndDate.rtmd,cc_inst_1,cc_inst_2,cc_inst_3,cc_inst_4,cc_inst_5,cc_inst_6,cc_inst_7,cc_inst_8,citizen.pre,eng_years.pre,math_grade,math_sat_1,rtmd_inst.pre,evo1_1,gw1_2,nat1_3,dty1_4,aft1_5,cre1_6,gw2_1,gw2_2,gw2_3,gw2_4,evo2_5,evo2_6,engage,aft2,aft3,dty2,dty3,cre2,cre3,nat2,life_inst,knwgbl,lifesty,nat_mil1_1,pni_inst,pni1,pni2,pni3,pni4,pni5,pni6,pni7,pni8,pni9,pni10,pni11,pni12,pni13,pni14,pni15,pni16,pni17,pni18,pni19,pni20,Status.rpp,StartDate.rpp,EndDate.rpp,Q4,Q6,Q8,Q10,Q51_1,Q51_2,Q53_1,Q48,Q50,Q16,us_born.pre,Q20,Q22,Q24,us_years.pre,Q28,Q30,native_lang,Q34,Q59.1,Q36,Q38,first.lang.parents,gender.pre,Q44,Q46,Q48.1,Q50.1,Q52,Q54,party.pre,Q58.1,social.cons,econ.cons,faith.pre,Q64,Q66_1,Q66_2,Q66_3,Q66_4,Q66_5,Q66_6,Q66_7,Q66_8,Q66_9,Q66_10,Q66_11,Q66_12,Q66_13,Q66_14,Q66_15,Q66_16,Q66_17,Q66_18,Q66_19,Q66_20,Q66_21,Q66_22,Q66_23,Q66_24,Q66_25,Q66_26,Q66_27,Q66_28,Q66_29,Q66_30,Q66_31,Q66_32,Q66_33,Q66_34,Q68,Q70,Q72,Q53_4,Q53_5,Q53_6,Q53_2,Q53_3,StartDate.study,EndDate.study,k1time_pre_1,k1time_pre_2,k1time_pre_3,k1time_pre_4,k2time_pre_1,k2time_pre_2,k2time_pre_3,k2time_pre_4,k3time_pre_1,k3time_pre_2,k3time_pre_3,k3time_pre_4,knwgbl_pre,desc_time_1,desc_time_2,desc_time_3,desc_time_4,surprise,surprise.1,new_forg,lt_in_pst,lt_out_pst,k1time_pst_1,k1time_pst_2,k1time_pst_3,k1time_pst_4,k2time_pst_1,k2time_pst_2,k2time_pst_3,k2time_pst_4,k3time_pst_1,k3time_pst_2,k3time_pst_3,k3time_pst_4,knwgbl_pst,rtmd_inst.study,evo1_1_pst,gw1_2_pst,nat1_3_pst,dty1_4_pst,aft1_5_pst,cre1_6_pst,gw2_1_pst,gw2_2_pst,gw2_3_pst,gw2_4_pst,evo2_5_pst,evo2_6_pst,engage_pst,aft2_pst,aft3_pst,dty2_pst,dty3_pst,cre2_pst,cre3_pst,nat2_pst,inst.1,lifsty_pst,natmil_pst_1,gender.study,citizen.study,us_born.study,english,party.study,conservati,faith.study
1,2012-05-21 15:59:00,2012-05-21 16:06:00,NA,1,NA,NA,NA,NA,NA,NA,y,NA,1,690,1,6,3,2,7,8,2,3,7,6,8,4,8,NA,8,8,8,7,8,5,1,1,6,6,4,1,7,2,8,8,3,7,3,2,6,8,7,3,7,3,3,8,2,1,8,8,0,2012-05-21 15:53:00,2012-05-21 15:58:00,1,3.2,3,2,2,2,5,3,2,2,y,CA,95131,,,3,18,English,11,,NA,NA,NA,female,64,127,4,,8,1,democrat,,3,4,catholic,Presbyterian,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,17,5,3,1,1,2,1,2012-06-14 08:48:00,2012-06-14 09:34:00,5.876,312.465,318.434,19,67.153,71.331,107.038,2,83.492,165.196,166.199,7,6,206.313,263.026,278.728,2,7,5,5,visible,infrared,87.68,261.06,327.624,3,1.307,1.307,45.961,1,1.31,37.284,118.913,2,7,1,7,8,2,7,8,6,4,8,8,8,6,7,8,8,8,8,5,7,4,2,1,7,4,female,y,y,y,democrat,3,protestant / other christian
2,2012-05-21 16:00:00,2012-05-21 16:07:00,NA,NA,NA,NA,NA,NA,NA,NA,n,NA,1,791,1,9,7,5,1,1,1,4,7,8,7,3,9,6,1,2,1,1,1,1,3,1,5,5,2,1,4,4,4,8,3,8,5,3,7,6,7,6,8,3,3,8,3,3,6,7,0,2012-05-21 15:53:00,2012-05-21 15:59:00,3,3.88,5,1,2,2,2,6,NA,1,n,,NA,Singapore,1,3,21,English,10,,NA,NA,NA,male,70,171,1,,8,1,democrat,,2,4,atheist,,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,4,5,1,1,1,2,1,2012-06-12 17:19:00,2012-06-12 17:35:00,1.228,77.995,78.665,7,2.342,46.549,82.871,5,0.771,52.928,53.632,7,5,3.748,146.813,148.105,70,1,2,5,visible,infrared,1.018,62.407,96.543,8,1.758,42.784,53.99,4,1.088,33.46,56.748,2,6,1,9,8,1,1,1,1,4,7,8,7,8,9,6,8,1,1,1,1,1,1,1,6,3,male,n,n,y,libertarian,3,atheist
3,2012-05-21 17:31:00,2012-05-21 17:40:00,NA,1,NA,NA,NA,NA,NA,NA,y,NA,3,770,1,5,7,5,9,9,9,5,5,6,5,4,5,5,5,9,9,5,9,9,5,1,5,4,13,1,7,5,6,6,5,5,5,5,5,5,5,5,5,5,4,6,5,5,4,5,0,2012-05-21 16:37:00,2012-05-21 17:31:00,1,2.5,5,3,2,3,6,3,2,2,y,CA,94066,,,2,19,English,11,,NA,NA,NA,female,63,120,1,,8,1,republican,,5,5,catholic,Latter-Day Saint (Mormon),NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,4,5,1,1,1,1,1,2012-06-04 10:49:00,2012-06-04 11:31:00,3.336,152.719,154.452,2,51.354,83.269,110.272,5,7.024,7.024,35.496,1,2,0,0,373.474,0,2,3,5,uv,infrared,1.617,1.617,73.8,1,6.25,6.25,49.002,1,1.517,1.517,13.2,1,3,1,5,5,5,9,9,9,3,5,4,5,5,5,5,9,9,9,3,9,7,5,1,2,20,female,y,y,y,republican,7,other
4,2012-05-22 11:15:00,2012-05-22 11:25:00,NA,NA,NA,NA,NA,NA,NA,NA,y,24,1,666,1,8,6,7,1,2,1,5,7,4,8,7,8,8,2,1,1,1,1,2,3,1,6,7,0,1,5,3,5,7,4,5,3,5,5,5,6,7,7,4,3,7,3,4,5,5,0,2012-05-22 10:53:00,2012-05-22 11:13:00,1,3,5,4,1,1,5,NA,4,1,y,CA,92057,,,3,24,Spanish,9,24,5,2,6,female,68 inches,130 pounds,5,questioning,8,3,democrat,,3,2,spiritual but not religious,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,,22,5,1,1,1,1,1,2012-06-12 16:08:00,2012-06-12 16:36:00,4.486,135.155,229.379,9,2.278,3.323,75.789,2,1.185,28.724,80.172,2,3,154.074,191.42,207.765,7,1,2,7,visible,infrared,4.413,198.235,199.708,7,9.608,9.608,78.886,1,1.573,33.529,34.613,2,7,1,8,8,7,5,2,1,9,8,4,6,9,6,7,2,2,4,2,2,1,5,1,8,0,female,y,y,y,democrat,4,agnostic
5,2012-05-22 13:31:00,2012-05-22 13:44:00,NA,NA,NA,NA,NA,NA,NA,NA,y,15,1,800,1,7,9,6,3,9,1,7,8,6,9,8,8,6,7,6,1,3,1,1,3,1,7,7,10,1,9,7,9,8,3,8,3,4,3,9,9,5,9,2,1,9,5,1,8,8,0,2012-05-22 13:23:00,2012-05-22 13:31:00,1,3.575,4,2,1,3,3,NA,NA,3,y,CA,91737,,,3,18,Mandarin Chinese,11,15,5,2,6,female,68,125,1,,4,1,none,,4,4,buddhist,,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,16,5,2,1,1,1,1,2012-06-14 10:30:00,2012-06-14 10:43:00,1.078,11.463,75.845,3,1.039,31.865,79.581,3,1.223,7.189,24.962,2,5,0,0,4.428,0,3,5,8,visible,invisible,1.062,52.62,53.201,2,1.124,15.541,39.197,4,0.82,0.82,57.448,1,5,1,8,8,4,5,9,1,5,7,6,8,8,7,3,8,2,2,2,2,1,2,1,5,9,female,y,y,n,none,5,buddhist
6,2012-05-22 14:38:00,2012-05-22 14:45:00,NA,NA,NA,NA,NA,NA,NA,NA,y,NA,2,699,1,8,3,7,5,5,2,3,1,3,3,9,9,5,5,5,5,2,5,3,3,1,7,2,9,1,7,2,8,7,3,8,3,2,3,8,5,5,7,3,2,8,3,2,8,7,0,2012-05-22 14:30:00,2012-05-22 14:38:00,1,3,3,4,1,1,4,2,5,1,y,CA,94587,N/A,N/A,3,20,Vietnamese,9,16,5,3,4,male,67 inches,160,1,N/A,8,1,independent,N/A,2,6,other,N/A,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,17,5,3,1,2,1,1,2012-06-02 18:05:00,2012-06-02 18:27:00,1.387,72.469,83.526,3,32.106,32.106,139.913,1,6.462,6.462,62.824,1,5,0,0,178.158,0,1,1,9,infrared,visible,1.54,1.54,50.586,1,0.962,0.962,39.598,1,1.166,1.166,38.185,1,5,1,9,3,7,5,7,1,3,3,3,3,9,9,7,7,7,6,1,5,1,3,1,3,6,male,y,y,y,democrat,4,decline to state
7,2012-05-22 18:22:00,2012-05-22 18:28:00,NA,NA,NA,NA,NA,NA,NA,NA,y,NA,3,800,1,7,7,8,1,1,1,4,8,5,6,8,9,5,2,1,3,5,8,1,5,1,3,5,3,1,5,3,5,5,5,5,5,5,5,8,8,5,5,5,5,5,5,6,8,5,0,2012-05-22 18:12:00,2012-05-22 18:21:00,1,2.7,5,4,3,2,6,5,5,3,y,CA,90066,,,3,22,English,11,,NA,NA,NA,male,68,120,1,,8,1,none,,2,2,atheist,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,10,5,NA,3,NA,NA,3,2012-06-13 13:32:00,2012-06-13 13:51:00,21.466,21.466,28.662,1,67.994,162.798,165.815,3,3.493,35.053,35.43,2,3,2.248,3.333,3.634,2,5,7,5,UV,UV,49.643,49.643,61.611,1,2.496,15.815,16.196,4,1.225,4.967,5.29,3,2,1,4,7,5,2,6,7,4,5,6,5,4,7,2,2,3,1,5,5,2,4,1,7,33,male,y,y,y,none,2,atheist
8,2012-05-22 19:22:00,2012-05-22 19:30:00,NA,1,NA,NA,NA,NA,NA,NA,n,10,1,761,1,4,6,1,5,6,3,6,7,7,6,3,8,6,5,3,3,5,4,2,1,1,5,5,NA,1,7,6,7,8,2,7,2,4,3,7,7,4,7,3,3,7,7,3,7,7,0,2012-05-22 19:16:00,2012-05-22 19:22:00,1,3.7,5,2,3,4,4,6,6,4,n,,NA,Korea,5,3,20,Korean,11,10,4,1,6,female,62.4,118,1,,7,1,none,,4,4,agnostic,,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,4,6,1,1,1,1,1,2012-06-17 20:37:00,2012-06-17 20:54:00,1.458,154.923,189.092,5,0.754,0.754,125.324,1,2.556,2.556,77.17,1,5,0,0,101.441,0,1,1,7,visible,infrared,3.347,3.347,50.673,1,0.788,0.788,47.974,1,0.746,0.746,36.32,1,6,1,5,7,1,5,7,2,5,7,7,7,4,9,7,7,5,5,1,7,1,1,1,6,0,female,n,n,n,none,5,spiritual but not religious
9,2012-05-22 19:43:00,2012-05-22 19:48:00,NA,NA,NA,NA,NA,NA,NA,NA,y,NA,NA,720,1,6,6,4,5,5,3,6,5,6,6,7,7,7,6,5,5,3,4,3,3,1,3,3,6,1,4,5,5,7,4,5,6,4,6,5,5,7,6,5,5,5,5,5,4,4,0,2012-05-22 19:37:00,2012-05-22 19:43:00,1,3.87,5,4,3,3,8,8,8,4,y,CA,94403,,,2,20,English,11,,NA,NA,NA,female,62 inches,135 pounds,1,,7,1,democrat,,2,4,agnostic,,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,10,5,3,1,1,2,1,2012-06-12 15:55:00,2012-06-12 16:10:00,1.617,74.821,99.805,3,0.963,2.362,34.772,2,1.249,1.249,21.114,1,2,0,0,142.885,0,3,8,2,Forgot,Infrared,0.914,43.503,76.871,4,1.698,1.698,30.898,1,1.095,33.797,38.151,3,3,1,7,7,3,5,5,3,6,6,7,7,7,8,6,7,5,5,2,4,3,3,1,3,5,female,y,y,y,democrat,3,agnostic
10,2012-05-22 21:12:00,2012-05-22 21:20:00,NA,NA,NA,NA,NA,NA,NA,NA,y,9,1,NA,1,8,6,6,5,1,1,6,6,4,8,9,9,6,3,2,3,1,7,2,5,1,3,3,10,1,4,1,4,7,1,6,3,3,3,4,5,7,8,1,3,8,2,2,6,3,0,2012-05-22 21:01:00,2012-05-22 21:10:00,1,4,2,3,4,4,3,6,NA,2,n,,NA,Ukraine,10,3,32,Russian,10,9,4,1,6,female,66,128,1,,8,2,none,,1,1,agnostic,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,19,5,3,1,3,3,1,2012-06-12 14:10:00,2012-06-12 14:40:00,2.303,214.868,218.621,8,18.725,18.725,101.726,1,16.819,157.716,169.53,4,2,0,0,186.125,0,2,1,3,visible,infrared,4.37,300.483,312.446,17,20.432,20.432,24.644,1,8.722,8.722,36.396,1,4,1,8,7,5,5,5,1,7,7,6,7,7,7,6,3,1,2,1,5,3,3,1,3,10,female,y,n,n,none,2,agnostic
