,survey_number,n_s,pre_post,complete,surprise,light_in,light_out,knowledgeable,evo1_1,gw1_2,nat1_3,deity1_4,after1_5,crea1_6,gw2_1,gw2_2,gw2_3,gw2_4,evo2_5,evo2_6,lifestyle,gender,citizen,us_born,us_years,english,party,conservative,faith,careful,reread,inconvenient_truth,transcription_notes,know_1_cat.1,know_1_cat.2,know_1_cat.3,know_1_cat.4,know_1_cat.5,know_1_cat.6,know_1_cat.8,know_1_cat.9,know_1_cat.10,know_1_cat.11,know_1_cat.12,know_1_cat.13,know_1_cat.14,know_1_cat.15,know_1_cat.17,know_1_cat.18,know_1_cat.19,know_2_cat.0,know_2_cat.0.5,know_2_cat.1,know_2_cat.3,know_2_cat.4,know_2_cat.5,know_2_cat.6,know_2_cat.8,know_2_cat.9,know_2_cat.10,know_2_cat.11,know_2_cat.12,know_2_cat.13,know_2_cat.14,know_2_cat.15,know_2_cat.17,know_2_cat.18,know_2_cat.19,know_2_cat.20,know_3_cat.2,know_3_cat.3,know_3_cat.4,know_3_cat.5,know_3_cat.6,know_3_cat.9,know_3_cat.10,know_3_cat.12,know_3_cat.13,know_3_cat.17,know_3_cat.19,know_3_cat.22,know_3_cat.23,ghg,light,energy,total.score
1,1,s,pre,y,NA,,,5,9,7,5,1,3,1,6,8,7,8,9,9,6,m,y,y,NA,y,libertarian,5,atheist,NA,NA,NA,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,2,2,8
2,1,s,post,y,3,uv,ir,5,9,7,5,1,3,1,7,9,7,7,9,9,6,m,y,y,NA,y,libertarian,5,atheist,NA,NA,NA,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2,2,7
3,2,s,pre,y,NA,,,4,8,9,9,4,6,1,4,8,7,7,6,8,6,f,y,y,19,y,republican,6,other,NA,NA,NA,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,1
4,2,s,post,y,7,?,infrared,4,8,8,9,4,6,1,3,8,7,7,8,9,6,f,y,y,19,y,republican,6,other,NA,NA,NA,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,2,3,9
5,3,s,pre,y,NA,,,3,3,7,4,9,9,8,6,7,6,8,2,7,7,f,y,y,NA,y,none,7,christian,NA,NA,NA,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,2,2
6,3,s,post,y,7,visible,infrared,5,3,7,4,9,9,8,6,7,6,8,1,7,7,f,y,y,NA,y,none,7,christian,NA,NA,NA,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,2,3,9
7,4,s,pre,y,NA,,,6,9,7,2,2,1,1,8,8,5,7,9,8,4,f,y,y,NA,y,democrat,2,jewish,NA,NA,NA,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,2,2
8,4,s,post,y,1,visible,infrared,6,9,6,2,2,1,1,4,8,6,6,9,8,5,f,y,y,NA,y,democrat,2,jewish,NA,NA,NA,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,1,2,6.5
9,5,s,pre,y,NA,,,7,9,6,7,1,1,1,2,9,9,9,8,7,6,m,y,y,NA,n,democrat,4,agnostic,NA,NA,NA,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1,0,0,1
10,5,s,post,y,9,sun,infrared,8,9,6,6,1,1,1,3,7,8,7,7,7,7,m,y,y,NA,n,democrat,4,agnostic,NA,NA,NA,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,0,1,4
