,survey_number,pre_post,n_s,complete,surprise,light_in,light_out,knowledgeable,evo1_1,gw1_2,nat1_3,deity1_4,after1_5,crea1_6,gw2_1,gw2_2,gw2_3,gw2_4,evo2_5,evo2_6,lifestyle,gender,citizen,us_born,us_years,english,party,conservative,faith,careful,reread,inconvenient_truth,transcription_comments,coder.1,coder.2,codes_1.1.mccs1,codes_1.1.mccs2,codes_1.1.mccs3,codes_1.1.mccs4,codes_1.1.dnk1,codes_1.1.dnk2,codes_1.1.mccq1,codes_1.1.mccq2,codes_1.1.sghg3,codes_1.1.mccr,codes_1.1.dd3,codes_1.1.dghg3,codes_1.1.dghg4,codes_1.1.sghg1,codes_1.1.sghg2,codes_1.1.dd1,codes_1.1.dd2,codes_1.1.dghg1,codes_1.1.dghg2,codes_1.1.mcce1,codes_1.1.mcce2,codes_1.1.mcce3,codes_1.1.mcce4,codes_2.1.mccs1,codes_2.1.mccs2,codes_2.1.mccs3,codes_2.1.mccs4,codes_2.1.dnk1,codes_2.1.dnk2,codes_2.1.mccq1,codes_2.1.mccq2,codes_2.1.sghg3,codes_2.1.mccr,codes_2.1.dd3,codes_2.1.dghg3,codes_2.1.dghg4,codes_2.1.sghg1,codes_2.1.sghg2,codes_2.1.dd1,codes_2.1.dd2,codes_2.1.dghg1,codes_2.1.dghg2,codes_2.1.mcce1,codes_2.1.mcce2,codes_2.1.mcce3,codes_2.1.mcce4,codes_3.1.mccs1,codes_3.1.mccs2,codes_3.1.mccs3,codes_3.1.mccs4,codes_3.1.dnk1,codes_3.1.dnk2,codes_3.1.mccq1,codes_3.1.mccq2,codes_3.1.sghg3,codes_3.1.mccr,codes_3.1.dd3,codes_3.1.dghg3,codes_3.1.dghg4,codes_3.1.sghg1,codes_3.1.sghg2,codes_3.1.dd1,codes_3.1.dd2,codes_3.1.dghg1,codes_3.1.dghg2,codes_3.1.mcce1,codes_3.1.mcce2,codes_3.1.mcce3,codes_3.1.mcce4,codes_1.2.mccs1,codes_1.2.mccs2,codes_1.2.mccs3,codes_1.2.mccs4,codes_1.2.dnk1,codes_1.2.dnk2,codes_1.2.mccq1,codes_1.2.mccq2,codes_1.2.sghg3,codes_1.2.mccr,codes_1.2.dd3,codes_1.2.dghg3,codes_1.2.dghg4,codes_1.2.sghg1,codes_1.2.sghg2,codes_1.2.dd1,codes_1.2.dd2,codes_1.2.dghg1,codes_1.2.dghg2,codes_1.2.mcce1,codes_1.2.mcce2,codes_1.2.mcce3,codes_1.2.mcce4,codes_2.2.mccs1,codes_2.2.mccs2,codes_2.2.mccs3,codes_2.2.mccs4,codes_2.2.dnk1,codes_2.2.dnk2,codes_2.2.mccq1,codes_2.2.mccq2,codes_2.2.sghg3,codes_2.2.mccr,codes_2.2.dd3,codes_2.2.dghg3,codes_2.2.dghg4,codes_2.2.sghg1,codes_2.2.sghg2,codes_2.2.dd1,codes_2.2.dd2,codes_2.2.dghg1,codes_2.2.dghg2,codes_2.2.mcce1,codes_2.2.mcce2,codes_2.2.mcce3,codes_2.2.mcce4,codes_3.2.mccs1,codes_3.2.mccs2,codes_3.2.mccs3,codes_3.2.mccs4,codes_3.2.dnk1,codes_3.2.dnk2,codes_3.2.mccq1,codes_3.2.mccq2,codes_3.2.sghg3,codes_3.2.mccr,codes_3.2.dd3,codes_3.2.dghg3,codes_3.2.dghg4,codes_3.2.sghg1,codes_3.2.sghg2,codes_3.2.dd1,codes_3.2.dd2,codes_3.2.dghg1,codes_3.2.dghg2,codes_3.2.mcce1,codes_3.2.mcce2,codes_3.2.mcce3,codes_3.2.mcce4,ghg,light,energy,total.score
1,f11-1,post,n,y,3,visible,infrared,3,7,6,9,9,9,9,7,7,8,9,7,5,9,m,y,y,NA,y,NA,5,christian,7,5,0,,Coder1,Coder2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0.5,3,6.75
2,f11-10,post,s,y,5,,infrared,4,6,8,4,7,6,3,5,7,7,8,7,7,6,m,y,y,NA,y,decline,5,decline,NA,NA,,,Coder3,Coder1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
3,f11-10,pre,s,y,NA,NA,NA,4,6,7,4,7,6,5,4,7,6,8,7,7,5,m,y,y,NA,y,decline,5,decline,NA,NA,,,Coder2,Coder4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.75
4,f11-11,post,n,y,5,sun,uv,3,6,9,3,9,7,7,1,9,9,9,1,3,8,f,y,y,NA,n,none,5,spiritual but not religious,8,4,0,,Coder4,Coder3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,2,4
5,f11-12,post,n,y,9,stronger,weak,5,7,9,5,7,8,7,8,NA,9,9,5,5,7,f,y,n,11,n,none,5,spiritual but not religious,6,2,1,,Coder2,Coder4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0.5,2.5,6.25
6,f11-13,post,s,y,1,,infrared,6,5,9,7,7,5,5,4,9,9,9,5,5,7,m,y,y,NA,y,none,1,other,NA,NA,,,Coder1,Coder2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,1.5
7,f11-13,pre,s,y,NA,NA,NA,6,7,9,7,7,5,5,4,9,9,9,3,5,7,m,y,y,NA,y,none,1,other,NA,NA,,,Coder2,Coder4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2.5,3.5
8,f11-14,post,s,y,7,ultraviolet,infrared,7,6,7,5,7,7,4,4,7,6,9,4,7,7,m,y,y,NA,y,decline,5,spiritual,NA,NA,,,Coder4,Coder3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,5
9,f11-14,pre,s,y,NA,NA,NA,6,7,6,5,7,7,3,4,7,5,9,4,7,7,m,y,y,NA,y,decline,5,spiritual,NA,NA,,,Coder3,Coder1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.75
10,f11-15,post,n,y?,5,,,1,5,7,5,7,7,5,5,7,7,7,5,9,6,f,y,y,NA,y,none,5,christian,5,5,0,,Coder1,Coder2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3.5
