subj_id,StartDate,EndDate,Finished,consent,instexp,only_us,state,gender,citizen,us_born,english,party,conserv,faith,ed_level,cc_inst,us_years,where_born,eng_years,first_lang,instr_pre,evo1_1_pre,gw1_2_pre,nat1_3_pre,dty1_4_pre,aft1_5_pst,cre1_6_pre,gw2_1_pre,gw2_2_pre,gw2_3_pre,gw2_4_pre,evo2_5_pre,evo2_6_pre,engage_pre,aft2_pre,aft3_pre,dty2_pre,dty3_pre,cre2_pre,cre3_pre,nat2_pre,instw_pre,lifsty_pre,natmil_pre_1,instk_pre,k1time_pre_1,k1time_pre_2,k1time_pre_3,k1time_pre_4,pre1_inst,k2time_pre_1,k2time_pre_2,k2time_pre_3,k2time_pre_4,k3time_pre_1,k3time_pre_2,k3time_pre_3,k3time_pre_4,knwgbl_pre,desc_time_1,desc_time_2,desc_time_3,desc_time_4,desc,surprise,lack,new_forg,instlt_pst,lt_in_pst,lt_out_pst,k1time_pst_1,k1time_pst_2,k1time_pst_3,k1time_pst_4,instk_pst,k2time_pst_1,k2time_pst_2,k2time_pst_3,k2time_pst_4,k3time_pst_1,k3time_pst_2,k3time_pst_3,k3time_pst_4,knwgbl_pst,instr_pst,evo1_1_pst,gw1_2_pst,nat1_3_pst,dty1_4_pst,aft1_5_pst.1,cre1_6_pst,gw2_1_pst,gw2_2_pst,gw2_3_pst,gw2_4_pst,evo2_5_pst,evo2_6_pst,engage_pst,aft2_pst,aft3_pst,dty2_pst,dty3_pst,cre2_pst,cre3_pst,nat2_pst,instw_pst,lifsty_pst,natmil_pst_1,instfin,codes_pre,codes_pst
2,2013-03-28 16:44:06,2013-03-28 16:51:49,1,1,1,1,TX,female,1,y,1,democrat,1,atheist,3,1,,,,,1,9,9,1,1,1,1,9,9,9,9,9,9,9,1,1,1,5,1,1,1,1,9,6,1,1.026,3.198,43.713,2,1,0.782,32.061,32.456,2,1.339,1.339,16.118,1,6,3.884,3.884,40.093,1,1,1,1,9,1,Visible,Infrared,0.977,2.367,48.434,2,1,1.141,1.141,9.472,1,0.125,5.967,26.13,3,7,1,9,9,1,1,1,1,9,9,9,9,9,9,9,1,1,1,1,1,1,1,1,9,6,1,"MCCS1, MCCS4, DD2, DGHG4","DGHG2, DNK2, DGHG3"
27,2013-03-28 16:56:46,2013-03-28 17:15:32,1,1,1,1,PA,male,1,y,1,democrat,3,agnostic,5,1,,,,,1,8,7,9,5,5,3,6,6,7,8,8,7,7,5,4,4,5,5,5,5,1,7,0,1,1.501,1.501,100.823,1,1,1.525,91.536,148.58,2,4.851,36.192,86.991,5,5,0,0,75.965,0,1,1,3,9,1,visible,infrared ,2.071,15.403,71.337,2,1,3.868,3.868,29.787,1,2.051,2.051,23.61,1,5,1,8,8,9,5,5,3,6,7,8,7,8,8,8,6,5,4,5,5,2,6,1,7,0,1,"MCCS1, MCCE3, DD2, DGHG3, DGHG2","DD1, DGHG2, MCCE3"
4,2013-03-28 16:53:14,2013-03-28 17:19:55,1,1,1,1,CA,male,1,y,1,democrat,1,atheist,6,1,,,,,1,9,9,7,1,1,1,8,9,8,9,7,9,7,1,1,1,1,1,1,7,1,5,0,1,6.537,119.463,121.23,2,1,1.583,1.583,31.405,1,1.405,1.405,76.235,1,5,6.715,18.869,73.706,2,1,2,3,9,1,visible,infrared,6.348,58.759,131.64,2,1,2.58,2.58,32.454,1,1.388,1.388,53.279,1,5,1,9,9,7,1,1,1,9,9,8,9,9,9,7,1,1,1,1,1,1,7,1,5,0,1,"DGHG3, DGHG1, DNK2, MCCS1, MCCE2","DD1, DGHG3, DGHG1, MCCE2"
26,2013-03-28 17:02:10,2013-03-28 17:20:09,1,1,1,1,KY,male,1,y,1,independent,5,christian,4,1,,,,,1,6,7,6,5,6,6,3,4,5,8,4,6,6,5,7,6,5,2,7,7,1,5,1,1,1.142,1.142,171.007,1,1,1.543,94.46,180.261,2,1.59,1.59,25.015,1,3,13.428,20.994,22.69,6,1,2,7,6,1,infrared,sun,2.123,8.915,59.623,2,1,28.367,28.367,85.661,1,1.374,24.392,42.418,3,7,1,6,6,5,6,6,3,7,3,3,5,3,5,6,6,3,8,5,3,4,5,1,3,1,1,"MCCQ1, DD3, DGHG3","DGHG3, DGHG1, DD3, DGHG2, MCCE4, MCCE1"
1,2013-03-28 17:10:41,2013-03-28 17:20:25,1,1,1,1,CA,female,1,y,1,republican,7,christian,6,1,,,,,1,5,5,7,7,5,5,5,3,3,5,5,4,1,5,7,7,6,5,7,6,1,1,2,1,1.537,2.111,46.275,2,1,2.817,2.817,26.502,1,1.777,1.777,7.971,1,2,0,0,52.436,0,1,3,1,5,1,visible,infrared,2.147,2.147,50.315,1,1,2.005,2.005,17.037,1,1.086,1.086,32.845,1,3,1,5,3,6,7,5,5,5,3,3,4,5,5,1,5,7,7,5,5,7,6,1,1,2,1,"DNK1, DNK2, SGHG1","MCCE1, DD1, DGHG1, DGHG3"
6,2013-03-28 17:03:47,2013-03-28 17:21:33,1,1,1,1,FL,female,1,y,1,democrat,1,atheist,5,1,,,,,1,9,8,5,1,1,1,6,9,7,6,8,9,6,4,1,1,1,1,1,4,1,6,70,1,3.345,3.345,83.313,1,1,43.063,45.094,110.049,2,6.186,47.021,47.475,2,5,0,0,138.833,0,1,3,7,5,1,visible,infrared ,6.214,6.214,62.62,1,1,7.039,42.24,43.763,2,8.326,39.869,48.364,3,6,1,9,8,6,1,1,1,6,8,7,7,9,9,7,3,1,1,1,1,1,3,1,7,65,1,"DD3, DGHG3","DD1, DGHG3"
8,2013-03-28 17:16:53,2013-03-28 17:28:14,1,1,1,1,AR,male,1,y,1,democrat,3,agnostic,5,1,,,,,1,8,7,6,1,3,1,7,8,7,7,8,9,7,2,1,3,1,2,2,2,1,6,1,1,1.025,48.079,62.672,4,1,15.311,35.216,35.484,2,28.416,28.416,89.063,1,6,0,0,37.288,0,1,2,4,7,1,visible,infrared,2.823,75.476,104.988,6,1,1.199,1.943,2.865,2,0.58,0.58,16.164,1,6,1,8,8,6,1,3,1,8,8,7,8,8,9,7,3,1,3,1,2,1,3,1,6,1,1,"DGHG2, MCCS1, DD2, DGHG1","DGHG1, DGHG3, MCCS1, MCCE2, DNK1"
15,2013-03-28 17:36:09,2013-03-28 17:43:44,1,1,1,1,MD,female,1,y,1,democrat,2,atheist,8,1,,,,,1,9,7,7,1,3,1,7,9,8,7,9,9,9,2,1,1,1,1,1,6,1,7,93,1,1.39,1.39,32.237,1,1,2.457,2.457,33.905,1,2.253,2.253,14.868,1,5,0,0,30.487,0,1,4,5,3,1,infrared,infrared,1.068,1.068,28.587,1,1,2.22,2.22,18.187,1,1.364,1.364,12.23,1,5,1,9,7,6,1,3,1,7,9,8,7,9,9,8,4,1,1,1,1,1,6,1,7,93,1,"MCCS4, DGHG3","MCCE2, DD2, DGHG1, DGHG3"
25,2013-03-28 19:00:36,2013-03-28 19:08:14,1,1,1,1,NY,male,1,y,1,democrat,2,agnostic,5,1,,,,,1,7,6,6,5,5,4,6,6,6,6,7,8,3,5,5,5,1,5,3,4,1,1,0,1,6.741,6.741,34.661,1,1,12.463,16.025,25.718,2,1.466,1.747,16.499,2,3,0,0,4.586,0,1,1,2,5,1,UV,don't remember,0.065,13.879,14.801,3,1,0.588,1.819,8.747,2,1.072,2.053,4.497,2,3,1,7,6,6,5,5,4,7,6,6,6,7,7,3,5,5,5,1,5,3,4,1,1,0,1,"MCCE2, DNK1, DGHG2","DGHG2, MCCE2"
32,2013-03-28 18:49:05,2013-03-28 19:09:40,1,1,1,1,MN,male,1,y,1,independent,7,agnostic,4,1,,,,,1,6,6,5,5,5,3,4,4,6,7,4,9,6,5,5,4,1,5,5,3,1,3,1,1,2.431,2.431,125.004,1,1,7.954,7.954,137.419,1,10.324,38.134,53.888,2,5,0,0,42.838,0,1,6,6,5,1,can't remember,infrared,3.657,3.657,97.741,1,1,4.749,4.749,37.331,1,3.399,3.399,41.493,1,7,1,6,6,5,5,5,4,5,6,6,7,4,7,6,5,5,4,1,5,5,3,1,4,1,1,"MCCE1, DD2, DGHG3, DGHG2","MCCE2, DD2, DGHG3, DGHG2, MCCS1"
